UID,Al,ANC,Ca,Cl,cond,DOC,K,Mg,sodium,NH4,NO2,NO3,total.N,pH.lab,total.P,SIO2,SO4,TSS,turb
11003,0.0205,547.8,5.191,7.73,88.69,2.61,1.205,2.007,7.76,0.055,0,0.13368,422,7.25,33.5975,18.263,1.65,2.4,4.56
11004,3.00E-04,3567.16,30.15,5.84,371.18,3.34,2.562,12.14,32.94,0.055,0.00088,0.19943,866,7.78,293.6513,49.921,7.93,125.6,34.8
11005,3.00E-04,4385.55,40.2,5.06,451.98,1.58,1.748,18.3,32.13,0.01,0,1.06641,1314,8.37,53.9375,38.263,12.5,0.9,0.81
11013,0.0054,1767.11,18.1,1.27,203.1,1.79,2.846,10.11,10.18,8.00E-03,0,0.07922,211,8.14,88.8413,43.2,12.83,1.8,1.81
11014,0.0095,450.52,5.678,7.68,74.69,1.92,1.023,1.893,5.212,1.70E-02,0,0.0258,199,7.45,28.965,16.167,0.54,3.4,4.28
11016,0.0062,406.01,4.053,0.08,42.08,1.02,0.839,1.337,2.267,0.001,0,0.00337,44,7.35,12.7788,27.601,0.4,0,0.09
11017,0.0014,548.26,5.863,3.91,69.98,0.41,0.246,1.832,4.875,9.00E-03,0,0.05805,119,7.99,14.8975,18.938,1.34,0.8,0.296
11018,0.0016,329.76,3.992,0.14,29.43,0.69,0.165,0.661,1.792,7.00E-03,0,0.00144,124,7.26,27.7413,13.542,0.47,15.8,4.38
11020,0.015,644.43,6.08,1.42,71.71,1.13,1.231,2.347,4.309,7.50E-02,0.01435,0.0642,300,7.89,72.4588,28.052,1.03,3.9,4.4
11021,0.0042,292.46,3.286,0.79,30.97,0.62,0.303,0.776,1.994,8.00E-03,0.00071,0.0066,95,7.64,13.1913,11.316,0.96,0.5,0.83
11022,0.0089,276.25,3.347,0.79,33.69,0.59,0.257,0.82,1.94,5.00E-03,0,0.00282,48,7.46,4.5038,10.628,1.01,1.8,3.23
11025,0.0098,472.88,4.541,4.3,63.86,1.15,0.592,1.718,5.206,0.016,0,0.07527,236,7.91,11.555,14.872,1.39,0.7,1.115
11026,0.0029,555.34,5.209,1.45,61.13,0.57,1.046,1.662,4.205,7.00E-03,0,0,77,8.33,36.9706,26.276,1.17,0.8,0.75
11027,0.028,416.33,4.471,1.04,47.7,0.99,0.529,1.37,2.647,1.30E-02,0,0.00945,91,7.59,16.0206,15.817,0.89,1.4,4.14
11031,0.0074,365.76,3.963,4.34,57.39,0.78,0.476,1.361,4.698,0.016,0.0211,0.19023,289,7.74,9.4638,53.83,2.19,0.8,0.85
11035,0.0058,664.64,7.518,1.14,73.85,0.65,0.764,2.034,3.806,7.00E-03,0.00065,0.10865,210,7.71,27.5025,16.105,0.97,5.1,4.01
11036,0.0046,310.65,3.251,0.67,30.35,0.39,0.346,0.809,2.071,5.00E-03,0,0.00521,103,7.69,8.93,15.661,0.45,1.1,3.19
11037,0.0074,166.59,1.571,2.33,26.68,1.21,0.352,0.615,2.424,6.00E-03,0,0.05892,141,7.73,17.2244,7.204,0.86,4.2,4.05
11039,0.0022,804.16,10.88,4.99,105.68,0.36,0.578,1.995,5.686,7.00E-03,0,0.01308,34,7.79,17.695,16.353,3.27,0,2.68
11040,0.0091,382.83,4.649,0.15,44.28,1.22,1.232,0.984,2.173,0,0,0.00206,44,7.64,8.3375,17.366,1.95,0.4,0.41
11041,0.0178,442.73,4.253,1.24,53.53,0.72,0.695,1.557,3.397,0.019,0,0.01432,90,7.74,25.754,18.638,1.67,2.8,3.32
11042,0.0041,148.32,2.546,0.09,33.27,0.58,0.755,0.965,1.594,0,0,0.00136,9,7.23,4.2788,12.945,6.77,0,0.41
11044,0.0063,757.01,7.2,1.66,85.32,0.85,1.022,3.517,4.023,0.014,0,0.10849,295,8,57.2525,24.219,1.68,2.6,3.8
11045,0.001,452.21,3.716,1.17,47.73,0.31,1.023,1.641,3.974,5.00E-03,0,0.00058,53,7.79,28.9606,23.244,0.69,0.6,0.16
11046,0.0023,439.46,3.909,1.16,50.43,0.35,0.871,1.726,3.447,4.00E-03,0,0.00174,26,7.68,30.8675,22.816,0.7,0,2.54
11047,4.00E-04,588.88,5.599,2.6,69.8,0.85,1.093,1.989,4.7,0.01,0,0.00048,97,8.02,22.5738,20.647,1.81,0.7,0.61
11051,0.0085,789.05,7.39,0.18,80.02,2.18,1.518,3.238,3.453,4.00E-03,0,0.00734,123,7.88,23.405,39.863,0.15,0.4,0.42
11053,0.004,331.4,3.429,0.69,33.8,0.42,0.532,0.842,2.148,6.00E-03,0,0.00117,56,7.61,8.9775,15.324,0.52,1,3.29
11079,3.00E-04,4975.96,208.3,12,1404,6.4,2.998,65.25,36.51,0.01,0,0,449,8.29,45.54,13.099,589.83,50.5,28.7
11080,3.00E-04,4821.75,204.8,11.28,1335.16,6.39,3.567,61.77,35.06,1.10E-02,0,0.03069,699,8.3,166.87,12.532,521.16,179,58.2
11081,3.00E-04,4474.82,46.44,3.12,725.4,2.71,1.316,41.21,54.75,5.00E-03,0,0.0953,261,8.55,2.425,13.787,142.59,18.9,15.8
11082,3.00E-04,4828.14,41.77,3.33,723.43,2.83,1.416,41.6,58.04,6.00E-03,0,0,186,7.93,9.2088,13.271,148.65,4.4,4.66
11083,3.00E-04,3914.64,82.95,4.9,569.6,0.76,1.458,23.59,7.69,6.00E-03,0.001,0.18297,309,8.42,12.1963,9.235,104.14,0.4,1.23
11084,5.00E-04,2030.49,45.5,12.79,396.8,1.94,2.937,8.63,18.84,6.00E-03,0,0.00139,161,8.05,16.8775,15.425,71.59,5.3,3.17
11085,3.00E-04,1483.24,20.78,3.12,173,3.49,1.897,4.737,7.376,3.60E-02,0,0.00931,298,7.65,47.4163,18.897,3.39,9.1,11.3
11086,3.00E-04,2612.69,192.7,50.49,2727.56,5.15,8.455,141.9,265,5.00E-03,0,0,468,7.71,41.7881,2.42,1464.8,21,20.52
11087,3.00E-04,2461.12,48.98,54.23,661.2,4.09,3.142,15.25,64.33,0.024,0,0.14348,490,8.41,41.5063,3.171,112.53,11,10.2
11088,0.0089,1011.28,17.36,0.39,134.32,2.25,0.867,3.541,2.704,9.00E-03,0,0,128,8.09,11.785,13.333,12.09,0,2.87
11089,3.00E-04,2195.04,57.39,62.41,513.6,2.59,4.382,7.565,28.67,0.031,0,0.32232,559,7.78,39.9125,26.169,38.8,3.3,4.5
11090,3.00E-04,4390.94,187.4,59.94,2044.67,5.86,13.98,85.39,188.9,0.192,0,0.15947,994,7.9,137.707,13.897,855.31,3.5,4.85
11091,3.00E-04,6131.24,55.57,9.77,1119,4.74,3.559,62.59,113.5,1.30E-02,0,0.06413,586,8.63,163.0613,13.385,334.92,172.2,179
11093,0.0035,2911.24,94.32,6.4,848.57,3.41,3.261,26.72,31.3,1.30E-02,0,0.66899,2154,7.7,137.4963,13.874,278.69,48.2,15.51
11094,0.0016,2838.02,97.16,6.54,827.42,3.36,3.374,26.78,44.83,8.00E-03,0,0.89336,1378,8.43,85.4538,15.986,281.04,72.4,38.99
11095,0.0258,238.09,3.671,0.06,27.26,2.31,0.398,0.542,0.769,8.00E-03,0,0.01978,184,7.45,10.9588,3.591,1.02,0.9,3.08
11096,0.004,2095.34,45.24,7.72,423.44,3.98,2.084,15.02,22.11,0.019,0.00234,0.08062,608,8.06,44.3338,8.802,92.87,7.4,7.98
11097,0.0011,2610.18,46.21,1.19,327.37,1.89,0.899,14.04,2.461,4.00E-03,0,0,163,8.25,22.6125,9.079,38.44,6,6
11098,0.0107,701.13,8.836,0.4,76.86,3.15,1.668,1.448,2.813,4.20E-02,0,0.00478,280,7.94,82.4225,23.547,1.14,4.2,4.87
11099,3.00E-04,4887.12,46.39,18.16,554.22,6.47,11.86,19.15,38.94,2.10E-02,0,0.0369,1063,8.11,277.2369,47.068,20.68,1.9,3.4
11100,3.00E-04,832.95,14.68,0.19,102,0.83,0.799,2.032,1.855,9.00E-03,0,0.05109,157,7.9,8.8619,8.503,6.6,5.4,3.81
11106,0.0029,3735.54,69.43,9.29,450.87,3.04,3.528,7.718,15.98,3.80E-02,0,0.07174,373,7.87,44.5663,9.445,36.62,3.6,5.01
11107,0.005,4717.97,77.49,20.19,633.38,4.7,3.367,28.58,6.056,4.90E-02,0,3.00274,3688,8.15,179.5925,12.811,58.84,28.1,10.83
11108,3.00E-04,5528.47,91.19,25.69,751.76,2.93,1.859,34.63,7.163,1.30E-02,0,3.24241,3675,8.31,59.9375,10.578,82.41,13.3,6.42
11109,3.00E-04,5745.67,82.05,32.83,759.55,1.96,1.872,34.2,16.02,1.50E-02,0,7.4743,7700,8.41,129.1463,11.078,45.88,37.2,15.64
11114,0.0048,5377.11,67.25,45.58,723.8,3.36,2.888,36.3,20.63,2.60E-02,0,4.18056,5475,8.52,184.3306,8.646,33.1,30.4,12.73
11117,0.0025,3634.49,70.9,20.22,566.85,7.21,4.63,20.64,9.307,6.90E-02,0.00319,0.78837,1587,8.05,106.0269,2.974,74.01,13.5,7.88
11118,3.00E-04,3490.56,168.5,56.85,2250.96,4.65,10.8,79.42,218.2,0.02,0,0,634,7.87,152.8763,3.272,1018.11,43.7,36.15
11119,0.0037,4460.34,55.17,95.04,787.95,7.95,3.751,32.9,41.85,2.90E-02,0,0.41873,1989,8.55,120.29,6.645,38.57,25.1,18.6
11120,0.002,3918.62,207.1,29.21,2051.28,4.25,8.561,83.66,186.7,0.016,0,0.12821,534,8.09,133.2363,6.24,963.93,25.9,15.02
11121,3.00E-04,5287.62,73.6,42.42,725.03,2.2,4.388,31.69,22.59,0.01,0,3.80575,4250,8.27,474.605,10.451,47.2,21.3,8.53
11123,0.0103,4615.99,64.03,35.07,606.81,4.59,3.839,31.69,16.41,0.016,0,3.41869,4438,8.32,264.955,10.905,30.16,56.6,27.34
11124,3.00E-04,5457.6,76.75,34.2,691.1,1.78,1.919,33.46,14.22,8.00E-03,0,4.20809,4663,8.25,119.0163,7.094,39.63,10.6,6.33
11125,3.00E-04,5432.17,64.58,26.73,649.51,1.59,2.115,36.23,11.27,0.016,0,5.65378,6038,8.34,64.4125,10.634,21.18,10.6,4.66
11134,0.0027,283.77,5.479,3.83,51.88,0.71,0.302,1.041,3.079,7.00E-03,0,0.2125,300,7.28,0.84,3.697,3.59,0,0.277
11135,0.0083,830.38,15.55,5,110.98,2.54,0.829,1.191,3.666,6.00E-03,0,0.07479,260,8.07,6.3938,4.012,4.05,2.5,3.58
11136,0.019,272.43,5.242,6.55,68.52,1.94,0.327,0.952,4.562,5.00E-03,0,0.17426,295,7.23,3.1988,4.483,4.67,0,0.658
11137,0.0076,319.28,6.315,2.97,53.61,0.98,0.221,0.806,2.388,3.00E-03,0,0.17076,298,7.5,2.0163,3.574,4.27,1.2,2.99
11138,0.0216,188.27,3.225,0.87,31.31,1.44,0.674,0.861,1.278,3.00E-03,0,0.025,124,7.38,7.4194,6.223,4.52,2.3,1.01
11139,3.00E-04,5890.14,57.12,24.98,622.5,1,2.18,36.99,15.73,0.024,0,0.09906,241,7.96,4.3063,14.052,20.14,4.4,3.7
11140,3.00E-04,5755.74,80.38,23.07,646.4,0.8,3.502,26.11,15.16,0.01,0,0.04572,149,8.21,4.6613,15.329,40.98,7.6,4.28
11144,3.00E-04,3293.11,41.67,12.63,375.2,1.06,1.075,16.24,8.218,8.00E-03,0,0.15099,201,8.33,0.9725,16.221,15.09,0,0.235
11145,0.0113,291.42,3.667,4.32,53.5,10.69,1.545,1.378,3.148,1.50E-02,0,0.00459,741,6.56,117.4013,21.105,2.18,35.6,56.9
